experiment_id,architecture,cut_layer,batch_size,epochs,learning_rate,mean_transition_time,std_transition_time,min_transition_time,max_transition_time,total_transitions,unique_labels,label_0_mean,label_0_std,label_0_count,label_1_mean,label_1_std,label_1_count,label_2_mean,label_2_std,label_2_count,label_3_mean,label_3_std,label_3_count,label_4_mean,label_4_std,label_4_count,label_5_mean,label_5_std,label_5_count,label_6_mean,label_6_std,label_6_count,label_7_mean,label_7_std,label_7_count,label_8_mean,label_8_std,label_8_count,label_9_mean,label_9_std,label_9_count
25,784_128_32_10,2,64,3,0.01,0.00020726600439847201,6.791206085681849e-06,0.0001992765000814,0.0002334757868868,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
26,784_128_32_10,1,64,3,0.01,0.00023981853202863302,4.641550048514081e-06,0.0002332920510065,0.0002572749089117,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
27,784_128_32_10,1,64,3,0.001,0.00022968679714852899,4.734675479708292e-06,0.0002199133469332,0.0002451052791193,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
28,784_128_32_10,2,64,3,0.001,0.00020656317356385897,4.272774661624345e-06,0.0002013347143464,0.0002244989696749,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
29,784_128_32_10,1,64,3,0.001,0.00022660482911582698,4.778251810873447e-06,0.0002196915872004,0.0002450604760457,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
30,784_128_32_10,1,64,5,0.01,0.00022637376448678197,2.782829961403502e-06,0.0002208958923546,0.0002373696947255,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
31,784_128_32_10,2,64,5,0.01,0.000206125191027521,3.6275717545418208e-06,0.0002011792783522,0.0002251977671386,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
32,784_128_32_10,1,64,5,0.01,0.00022764796550607197,4.372325663286752e-06,0.0002215133353416,0.0002442186231056,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
33,784_128_32_10,1,64,5,0.001,0.000230451888317342,4.819940061284971e-06,0.0002237370575078,0.0002551521108045,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
34,784_128_32_10,2,64,5,0.001,0.00021043559492771302,3.3187686150639117e-06,0.0002051236887057,0.0002308858042153,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
